,campfilename,monthyear,appcat,totalusagekb,usageperc,cmy
230,Alexandria-Ref_GRE_003,62018,Video,1313681190,40,Alexandria-Ref_GRE_003062018
231,Alexandria-Ref_GRE_003,62018,Social web,514678797,15,Alexandria-Ref_GRE_003062018
232,Alexandria-Ref_GRE_003,62018,Music,31454199,0,Alexandria-Ref_GRE_003062018
233,Alexandria-Ref_GRE_003,62018,Advertising,13431125,0,Alexandria-Ref_GRE_003062018
234,Alexandria-Ref_GRE_003,62018,Online backup,6243843,0,Alexandria-Ref_GRE_003062018
235,Alexandria-Ref_GRE_003,62018,Productivity,1352281,0,Alexandria-Ref_GRE_003062018
236,Alexandria-Ref_GRE_003,62018,Email,1310668,0,Alexandria-Ref_GRE_003062018
237,Alexandria-Ref_GRE_003,62018,Software & anti-virus updates,1026318,0,Alexandria-Ref_GRE_003062018
238,Alexandria-Ref_GRE_003,62018,VoIP & video conferencing,597293,0,Alexandria-Ref_GRE_003062018
239,Alexandria-Ref_GRE_003,62018,Blogging,490262,0,Alexandria-Ref_GRE_003062018
240,Alexandria-Ref_GRE_003,62018,Web file sharing,331616,0,Alexandria-Ref_GRE_003062018
241,Alexandria-Ref_GRE_003,62018,Gaming,203907,0,Alexandria-Ref_GRE_003062018
242,Alexandria-Ref_GRE_003,62018,File sharing,162505,0,Alexandria-Ref_GRE_003062018
243,Alexandria-Ref_GRE_003,62018,P2P,140254,0,Alexandria-Ref_GRE_003062018
244,Alexandria-Ref_GRE_003,62018,Security,99247,0,Alexandria-Ref_GRE_003062018
245,Alexandria-Ref_GRE_003,62018,Photo sharing,71678,0,Alexandria-Ref_GRE_003062018
246,Alexandria-Ref_GRE_003,62018,News,70808,0,Alexandria-Ref_GRE_003062018
247,Alexandria-Ref_GRE_003,62018,Business management,1268,0,Alexandria-Ref_GRE_003062018
248,Alexandria-Ref_GRE_003,62018,Sports,307,0,Alexandria-Ref_GRE_003062018
249,Alexandria-Ref_GRE_003,62018,Cloud services,216,0,Alexandria-Ref_GRE_003062018
250,Alexandria-Ref_GRE_003,62018,Web payments,112,0,Alexandria-Ref_GRE_003062018
251,Alexandria-Ref_GRE_003,62018,Remote monitoring & management,71,0,Alexandria-Ref_GRE_003062018
252,Alexandria-Ref_GRE_003,72018,Other,1441814882,40,Alexandria-Ref_GRE_003072018
253,Alexandria-Ref_GRE_003,72018,Video,1308139864,36,Alexandria-Ref_GRE_003072018
254,Alexandria-Ref_GRE_003,72018,Social web,716621201,20,Alexandria-Ref_GRE_003072018
255,Alexandria-Ref_GRE_003,72018,Music,39514433,1,Alexandria-Ref_GRE_003072018
256,Alexandria-Ref_GRE_003,72018,Advertising,18096416,0,Alexandria-Ref_GRE_003072018
257,Alexandria-Ref_GRE_003,72018,Online backup,7847426,0,Alexandria-Ref_GRE_003072018
258,Alexandria-Ref_GRE_003,72018,Productivity,1846074,0,Alexandria-Ref_GRE_003072018
259,Alexandria-Ref_GRE_003,72018,Software & anti-virus updates,1556058,0,Alexandria-Ref_GRE_003072018
260,Alexandria-Ref_GRE_003,72018,Email,1333544,0,Alexandria-Ref_GRE_003072018
261,Alexandria-Ref_GRE_003,72018,Web file sharing,759057,0,Alexandria-Ref_GRE_003072018
262,Alexandria-Ref_GRE_003,72018,VoIP & video conferencing,567575,0,Alexandria-Ref_GRE_003072018
263,Alexandria-Ref_GRE_003,72018,Blogging,300177,0,Alexandria-Ref_GRE_003072018
264,Alexandria-Ref_GRE_003,72018,Web payments,275895,0,Alexandria-Ref_GRE_003072018
265,Alexandria-Ref_GRE_003,72018,Gaming,161886,0,Alexandria-Ref_GRE_003072018
266,Alexandria-Ref_GRE_003,72018,File sharing,157677,0,Alexandria-Ref_GRE_003072018
267,Alexandria-Ref_GRE_003,72018,News,123798,0,Alexandria-Ref_GRE_003072018
268,Alexandria-Ref_GRE_003,72018,P2P,86770,0,Alexandria-Ref_GRE_003072018
269,Alexandria-Ref_GRE_003,72018,Security,79749,0,Alexandria-Ref_GRE_003072018
270,Alexandria-Ref_GRE_003,72018,Photo sharing,59797,0,Alexandria-Ref_GRE_003072018
271,Alexandria-Ref_GRE_003,72018,Business management,992,0,Alexandria-Ref_GRE_003072018
272,Alexandria-Ref_GRE_003,72018,Cloud services,406,0,Alexandria-Ref_GRE_003072018
273,Alexandria-Ref_GRE_003,72018,Sports,223,0,Alexandria-Ref_GRE_003072018
274,Alexandria-Ref_GRE_003,72018,Remote monitoring & management,166,0,Alexandria-Ref_GRE_003072018
275,Alexandria-Ref_GRE_003,92018,Other,1135475191,46,Alexandria-Ref_GRE_003092018
276,Alexandria-Ref_GRE_003,92018,Video,742154302,30,Alexandria-Ref_GRE_003092018
277,Alexandria-Ref_GRE_003,92018,Social web,515653410,21,Alexandria-Ref_GRE_003092018
278,Alexandria-Ref_GRE_003,92018,Music,32254925,1,Alexandria-Ref_GRE_003092018
279,Alexandria-Ref_GRE_003,92018,Advertising,12563353,0,Alexandria-Ref_GRE_003092018
280,Alexandria-Ref_GRE_003,92018,Software & anti-virus updates,11214041,0,Alexandria-Ref_GRE_003092018
281,Alexandria-Ref_GRE_003,92018,Email,1195187,0,Alexandria-Ref_GRE_003092018
282,Alexandria-Ref_GRE_003,92018,Productivity,1174149,0,Alexandria-Ref_GRE_003092018
283,Alexandria-Ref_GRE_003,92018,Online backup,686959,0,Alexandria-Ref_GRE_003092018
284,Alexandria-Ref_GRE_003,92018,P2P,363211,0,Alexandria-Ref_GRE_003092018
285,Alexandria-Ref_GRE_003,92018,VoIP & video conferencing,314500,0,Alexandria-Ref_GRE_003092018
286,Alexandria-Ref_GRE_003,92018,Blogging,167620,0,Alexandria-Ref_GRE_003092018
287,Alexandria-Ref_GRE_003,92018,Web payments,132491,0,Alexandria-Ref_GRE_003092018
288,Alexandria-Ref_GRE_003,92018,News,71699,0,Alexandria-Ref_GRE_003092018
289,Alexandria-Ref_GRE_003,92018,Security,60300,0,Alexandria-Ref_GRE_003092018
290,Alexandria-Ref_GRE_003,92018,Sports,56737,0,Alexandria-Ref_GRE_003092018
291,Alexandria-Ref_GRE_003,92018,Web file sharing,50498,0,Alexandria-Ref_GRE_003092018
